id,device_id,captured_at,iso8601,local_timestamp_ist,voltage,current,real_power_kw,apparent_power_kva,reactive_power_kvar,energy_kwh,total_energy_kwh,frequency,power_factor,tariff_period,tariff_inr_per_kwh,instant_cost_inr,load_state,quality_flag,metadata
1,meter-001,1785519060,2026-07-31T17:31:00Z,2026-07-31 23:01:00 IST,233.144,3.067,0.6861,0.7151,0.2013,0.011436,31.057919,49.982,0.9596,Off-Peak (20:00-10:00),4.23,0.048373,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
2,meter-001,1785519120,2026-07-31T17:32:00Z,2026-07-31 23:02:00 IST,232.787,3.068,0.689,0.7142,0.188,0.011484,31.069403,49.985,0.9647,Off-Peak (20:00-10:00),4.23,0.048575,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
3,meter-001,1785519180,2026-07-31T17:33:00Z,2026-07-31 23:03:00 IST,233.131,3.205,0.7158,0.7471,0.214,0.01193,31.081333,49.995,0.9581,Off-Peak (20:00-10:00),4.23,0.050464,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
4,meter-001,1785519240,2026-07-31T17:34:00Z,2026-07-31 23:04:00 IST,232.975,3.309,0.7321,0.771,0.2418,0.012202,31.093535,49.999,0.9496,Off-Peak (20:00-10:00),4.23,0.051614,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
5,meter-001,1785519300,2026-07-31T17:35:00Z,2026-07-31 23:05:00 IST,232.725,3.308,0.7403,0.7698,0.2112,0.012338,31.105873,49.999,0.9616,Off-Peak (20:00-10:00),4.23,0.052189,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
6,meter-001,1785519360,2026-07-31T17:36:00Z,2026-07-31 23:06:00 IST,232.781,3.333,0.7459,0.776,0.2138,0.012432,31.118305,50.006,0.9613,Off-Peak (20:00-10:00),4.23,0.052587,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
7,meter-001,1785519420,2026-07-31T17:37:00Z,2026-07-31 23:07:00 IST,232.813,3.273,0.7266,0.762,0.2297,0.01211,31.130415,50.01,0.9535,Off-Peak (20:00-10:00),4.23,0.051225,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
8,meter-001,1785519480,2026-07-31T17:38:00Z,2026-07-31 23:08:00 IST,233.306,3.205,0.7201,0.7477,0.2013,0.012001,31.142416,49.985,0.9631,Off-Peak (20:00-10:00),4.23,0.050764,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
9,meter-001,1785519540,2026-07-31T17:39:00Z,2026-07-31 23:09:00 IST,232.751,3.378,0.7525,0.7863,0.2279,0.012542,31.154958,50.001,0.9571,Off-Peak (20:00-10:00),4.23,0.053051,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
10,meter-001,1785519600,2026-07-31T17:40:00Z,2026-07-31 23:10:00 IST,233.263,3.251,0.7268,0.7582,0.216,0.012114,31.167072,50.016,0.9586,Off-Peak (20:00-10:00),4.23,0.051241,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
11,meter-001,1785519660,2026-07-31T17:41:00Z,2026-07-31 23:11:00 IST,233.241,3.374,0.7475,0.7869,0.246,0.012458,31.17953,49.997,0.9499,Off-Peak (20:00-10:00),4.23,0.052697,Normal,Normal,"{""source"":""physically_modeled_demo"",""phase"":""single"",""location"":""IN-WB"",""sample_seconds"":60}"
